Rank,playerId,playerImageId,Player,playerFullName,pos,teamImageId,teamName,teamShortName,teamAbbrevName,teamId,newestTeamColor,optaPersonId,firstName,lastName,optaTeamId,leagueId,leagueName,Position,Team,GM,Min,Age,SubOn,SubOff,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,OFF,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Scs1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,SucflTklPct,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,PctPassFwd,PassSucPct,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttM3,PsAttD3,AerialSucPct,Aerials,ExpGAg,BgChncGoal,Crosses,DefTouchD3,DefTouchD3,DefTouchM3,DefTouchA3,OpenPlayxG,SetPiecexG,OpenPlayxG,SetPiecexG,NonPenxG,KeyPasses,DefBlocks,xGPerShot,ShotsTotal,CrossScsPct,CrossScsPctOpnPl,PctRegainsWithin6S,RecoveriesOppositionHalf,OpponentPossessionsStartingAndEndingInTheirOwnHalf,ConcededPassesIntoBox,PassesIntoBox,ConcededPassesIntoBox,Week,game,Home,Away,Win,Draw,Loss,Date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,Result,scatterId,scatterExtra
1,4le816q3ac1isre8sala3iwyy,618724,S. Rea,Sean Rea,Centre Attacking Midfielder,15378,Valour,Valour,VAL,dd2vf0yzjm7jm7cak9tf11sa2,#FF0000,427374,Sean,Rea,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Centre Attacking Midfielder,Valour,1,89,20,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,31,4,22,0.16,0,0,0.72,0,1,5,5,10,1,0,0,2,1,1,1,52,1,0,0,0,0,-,0,0,4,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2,17,3,38.70%,83.90%,12,13,1,15,14,2,0.00%,1,0.39,0,13,0,0,0,0,0.15,0.01,0.15,0.01,0.16,10,0,0.05,3,0.46,0.25,34.50%,1,15,13,0,13,,VAL vs HFX,TRUE,FALSE,TRUE,FALSE,FALSE,7/10/2022,7zjyie3snfstmtjldpk8xhes4,5gmx3o5y2oc0i6rowjwtu7jvu,15376,15376,Valour,HFX Wanderers,HFX,1,0,Played,W 1-0,2276271,VAL vs HFX (2022-07-10)
2,7t6lyj5pvvgzfscj775acuqc5,233123,M. Bustos,Marco Bustos,Right Midfielder,15380,Pacific,Pacific,PAC,b3436h8h14zw7f1uv6w9vqf6y,#00FFFF,173165,Marco,Bustos,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Midfielder,Pacific,1,83,26,0,1,0,1,1,0,2,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,40,14,22,0.44,0,3,2.03,1,4,1,6,7,3,1,0,4,0,2,2,72,8,2,2,1,5,100.00%,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,37,5,30,5,20.00%,90.00%,18,14,4,16,20,4,-,0,0.02,0,9,1,1,3,1,0.12,0.32,0.12,0.32,0.18,4,0,0.09,5,0.67,1,55.60%,4,15,8,4,8,,PAC vs VAL,TRUE,FALSE,TRUE,FALSE,FALSE,4/17/2022,7tnrk7s1kn6cat4od23gqvl04,dd2vf0yzjm7jm7cak9tf11sa2,15378,15378,Pacific,Valour,VAL,3,2,Played,W 3-2,2276223,PAC vs VAL (2022-04-17)
3,79xw5l1zq2huxdmeod9t19nmd,166598,J. Escalante,José Escalante,Left Attacking Midfielder,15381,Cavalry,Cavalry,CAV,41ewt71n8fqwy6trsqta1bjvu,#006600,128665,José,Escalante,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Attacking Midfielder,Cavalry,1,90,27,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7,2,20,3,8,0.1,0,0,0.16,0,0,5,0,5,5,1,1,5,2,0,0,48,6,0,0,1,1,0.00%,0,0,4,1,0,0,1,0,2,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,31,8,9,3,30.00%,55.00%,4,5,2,11,5,4,-,0,1.83,0,9,1,1,0,0,0,0.1,0,0.1,0.1,5,1,0.1,1,0.56,0,55.60%,3,23,11,2,11,,PAC vs CAV,FALSE,TRUE,FALSE,FALSE,TRUE,7/23/2022,80a2xihs3bt1pe45niehio55g,b3436h8h14zw7f1uv6w9vqf6y,15380,15380,Cavalry,Pacific,PAC,0,3,Played,L 0-3,2276277,PAC vs CAV (2022-07-23)
3,6r8emgp7oeom6yyibdb4g77c9,273966,D. Choinière,David Choinière,Right Midfielder,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,#CC6633,227780,David,Choinière,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Midfielder,Forge,1,90,25,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,58,9,46,0.06,0,0,0.46,0,1,2,3,5,5,0,0,5,3,0,0,92,3,0,0,0,1,-,1,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,55,5,32,6,17.20%,94.80%,21,32,2,34,22,2,100.00%,1,0.54,0,11,1,1,0,0,0.06,0,0.06,0,0.06,5,0,0.06,1,0,0,53.80%,1,12,14,8,14,,FOR vs ATO,TRUE,FALSE,FALSE,TRUE,FALSE,5/14/2022,7ve593zeywji6ty225c3mb9ck,dn8tjhuq0bax4dgixqvluhzze,16614,16614,Forge,Atlético Ottawa,ATO,1,1,Played,T 1-1,2276237,FOR vs ATO (2022-05-14)
3,1jw8ni6v99xnlou4wf0j47dnt,327118,T. Warschewski,Tobias Warschewski,Right Attacking Midfielder,6925,Edmonton,Edmonton,EDM,73xrv2025rnj0t3y9ayp83bec,#0033FF,228664,Tobias,Warschewski,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Attacking Midfielder,Edmonton,1,90,24,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,9,2,40,6,23,0.1,0,2,0.64,0,1,0,5,5,7,0,0,10,6,1,1,69,9,0,1,1,2,33.30%,0,0,8,1,1,1,0,0,1,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,37,6,26,1,22.50%,72.50%,10,16,3,20,15,5,33.30%,6,1.12,0,8,0,0,2,0,0.05,0.04,0.05,0.04,0.1,3,0,0.03,3,0.13,0.2,28.60%,2,19,21,6,21,,YRK vs EDM,FALSE,TRUE,FALSE,FALSE,TRUE,8/14/2022,82e7w33ico5akxjy7p3kytp1w,cqthcpums3aas2tdy0qhlkuwa,15382,15382,Edmonton,York United,YRK,2,3,Played,L 2-3,2276293,YRK vs EDM (2022-08-14)
3,246l8ttdytxycwsbi5sg12ei,336188,D. Klomp,Daan Klomp,Right Back,15381,Cavalry,Cavalry,CAV,41ewt71n8fqwy6trsqta1bjvu,#006600,429310,Daan,Klomp,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Back,Cavalry,1,69,24,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,86,25,52,0.24,0,0,0.3,0,0,0,5,5,1,0,0,1,1,0,0,101,2,0,0,1,1,0.00%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,32,8,61,5,38.40%,89.50%,54,18,5,21,60,5,-,0,0.86,0,2,1,1,0,0,0,0.24,0,0.24,0.24,5,0,0.24,1,0.5,0.5,57.10%,0,6,11,7,11,,CAV vs ATO,TRUE,FALSE,FALSE,FALSE,TRUE,8/21/2022,837pn16r5fayqo440drtrd15g,dn8tjhuq0bax4dgixqvluhzze,16614,16614,Cavalry,Atlético Ottawa,ATO,0,3,Played,L 0-3,2276299,CAV vs ATO (2022-08-21)
3,4le816q3ac1isre8sala3iwyy,618724,S. Rea,Sean Rea,Left Attacking Midfielder,15378,Valour,Valour,VAL,dd2vf0yzjm7jm7cak9tf11sa2,#FF0000,427374,Sean,Rea,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Attacking Midfielder,Valour,1,90,20,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,2,1,24,6,15,0.72,1,0,0.48,0,0,2,3,5,0,0,0,3,0,0,0,48,2,1,0,0,2,100.00%,1,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,3,26,0,41.70%,87.50%,13,6,2,6,16,2,0.00%,2,0.82,0,12,1,1,1,0,0,0.72,0,0.72,0.72,5,0,0.36,2,0.25,0.25,32.40%,2,15,13,0,13,,PAC vs VAL,FALSE,TRUE,FALSE,TRUE,FALSE,5/28/2022,7wbfumbhncegii9hi6bdw2zv8,b3436h8h14zw7f1uv6w9vqf6y,15380,15380,Valour,Pacific,PAC,2,2,Played,T 2-2,2276245,PAC vs VAL (2022-05-28)
3,4le816q3ac1isre8sala3iwyy,618724,S. Rea,Sean Rea,Left Attacking Midfielder,15378,Valour,Valour,VAL,dd2vf0yzjm7jm7cak9tf11sa2,#FF0000,427374,Sean,Rea,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Attacking Midfielder,Valour,1,73,20,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,5,3,36,9,19,0.5,1,1,0.57,1,1,1,4,5,1,0,0,4,0,1,1,47,1,1,3,1,5,100.00%,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10,18,3,33.30%,77.80%,14,11,3,14,18,4,-,0,0.44,1,1,5,5,0,0,0.5,0,0.5,0,0.5,4,0,0.25,2,1,1,32.40%,4,14,14,2,14,,VAL vs YRK,TRUE,FALSE,TRUE,FALSE,FALSE,8/7/2022,81uu5oy1hg6yunaahnrfm9ogk,cqthcpums3aas2tdy0qhlkuwa,15382,15382,Valour,York United,YRK,2,0,Played,W 2-0,2276289,VAL vs YRK (2022-08-07)
3,6yyhtcimqzsoqhp2clnj5x3sa,575525,Z. Fernandez,Zachary Fernandez,Right Midfielder,15376,HFX Wanderers,Wanderers,HFX,5gmx3o5y2oc0i6rowjwtu7jvu,#0066CC,427322,Zachary,Fernandez,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Midfielder,HFX Wanderers,1,90,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,34,3,20,0,0,1,0.53,0,0,4,1,5,5,0,0,10,3,0,0,70,2,4,2,1,8,100.00%,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,14,22,2,38.20%,67.60%,7,14,2,20,9,5,-,0,0.4,0,6,5,5,2,1,0,0,0,0,0,4,1,-,0,0.33,0,50.00%,0,9,17,2,17,,HFX vs PAC,TRUE,FALSE,TRUE,FALSE,FALSE,8/20/2022,82tw8mxoomsymoij38ka0ct1w,b3436h8h14zw7f1uv6w9vqf6y,15380,15380,HFX Wanderers,Pacific,PAC,1,0,Played,W 1-0,2276296,HFX vs PAC (2022-08-20)
3,4rdlxnsv6um9rvzope8uzyh3o,948555,W. Timoteo,Wesley Timoteo,Right Midfielder,6925,Edmonton,Edmonton,EDM,73xrv2025rnj0t3y9ayp83bec,#0033FF,566182,Wesley,Timoteo,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Midfielder,Edmonton,1,90,22,0,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,5,2,36,9,20,0.9,0,2,1.32,1,3,1,4,5,4,1,0,5,2,0,0,59,2,1,1,2,4,100.00%,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,31,8,20,7,30.60%,80.60%,12,14,3,15,17,4,100.00%,1,0.62,0,7,1,1,1,2,0.03,0.87,0.03,0.87,0.11,3,0,0.3,3,0.57,0.33,50.00%,6,24,14,6,14,,EDM vs YRK,TRUE,FALSE,TRUE,FALSE,FALSE,7/1/2022,7yw4kqr97qlka51p2ltma1v6c,cqthcpums3aas2tdy0qhlkuwa,15382,15382,Edmonton,York United,YRK,3,0,Played,W 3-0,2276266,EDM vs YRK (2022-07-01)
