Rank,playerId,playerImageId,Player,playerFullName,pos,teamImageId,teamName,teamShortName,teamAbbrevName,teamId,newestTeamColor,optaPersonId,firstName,lastName,optaTeamId,leagueId,leagueName,Position,Team,GM,Min,Age,SubOn,SubOff,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,OFF,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Scs1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,SucflTklPct,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,PctPassFwd,PassSucPct,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttM3,PsAttD3,AerialSucPct,Aerials,ExpGAg,BgChncGoal,Crosses,DefTouchD3,DefTouchD3,DefTouchM3,DefTouchA3,OpenPlayxG,SetPiecexG,OpenPlayxG,SetPiecexG,NonPenxG,KeyPasses,DefBlocks,xGPerShot,ShotsTotal,CrossScsPct,CrossScsPctOpnPl,PctRegainsWithin6S,RecoveriesOppositionHalf,OpponentPossessionsStartingAndEndingInTheirOwnHalf,ConcededPassesIntoBox,PassesIntoBox,ConcededPassesIntoBox
1,4le816q3ac1isre8sala3iwyy,618724,S. Rea,Sean Rea,Left Attacking Midfielder,15378,Valour,Valour,VAL,dd2vf0yzjm7jm7cak9tf11sa2,#FF0000,427374,Sean,Rea,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Attacking Midfielder,Valour,25,2093,20,1,9,2,11,5,6,5,9,20,14,5,0,0,2,0,3,2,5,0,0,0,1,4,13,18,116,33,654,147,358,3.84,5,8,7,2,9,30,36,66,104,4,0,92,34,8,4,1185,142,8,17,5,32,61.00%,1,0,111,8,1,10,9,4,17,5,9,0,0,0,0,0,26,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,37,24,38,615,94,476,53,31.50%,77.20%,264,214,27,280,327,47,21.40%,14,28.78,2,153,15,15,12,5,1.94,1.9,1.94,1.9,3.84,58,1,0.09,45,0.37,0.27,37.00%,48,487,351,53,351
2,7ao58e6608lb8eu3dmk17jisp,212957,O. Bassett,Ollie Bassett,Central Midfielder,16614,Atlético Ottawa,Atlético,ATO,dn8tjhuq0bax4dgixqvluhzze,,217111,Ollie,Bassett,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Atlético Ottawa,26,2270,24,0,11,3,13,5,8,5,7,14,10,4,3,3,6,2,5,3,2,0,0,0,0,8,0,27,126,44,987,328,489,4.66,8,2,3.56,5,7,18,20,38,45,2,0,75,19,8,5,1351,90,20,13,24,64,51.60%,6,1,175,2,5,8,2,6,13,2,10,0,0,0,0,0,25,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33,8,13,437,216,698,27,32.60%,82.80%,495,203,119,244,593,150,18.20%,11,26.44,5,96,29,29,28,7,1.29,3.37,1.29,3.37,2.3,36,1,0.12,39,0.31,0.18,35.00%,49,506,429,37,429
3,79xw5l1zq2huxdmeod9t19nmd,166598,J. Escalante,José Escalante,Left Attacking Midfielder,15381,Cavalry,Cavalry,CAV,41ewt71n8fqwy6trsqta1bjvu,#006600,128665,José,Escalante,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Attacking Midfielder,Cavalry,25,1996,27,3,6,1,14,7,7,3,4,14,8,5,1,1,8,2,2,2,1,0,0,0,4,0,25,3,123,22,577,194,238,2.71,4,4,3.95,2,7,19,16,35,68,4,2,107,16,0,0,1106,115,14,26,14,80,69.00%,22,9,81,17,2,9,10,9,13,8,9,0,0,0,0,0,26,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,40,18,16,526,187,393,69,24.10%,74.90%,221,142,69,209,279,89,55.60%,36,24.04,1,107,51,51,21,8,1.26,1.45,1.26,1.45,1.92,31,1,0.08,35,0.31,0.16,36.50%,33,385,319,51,319
3,cqu6f2gdqsceak3ifi433tyvp,238810,J. Gagnon-Laparé,Jérémy Gagnon-Laparé,Central Midfielder,15376,HFX Wanderers,Wanderers,HFX,5gmx3o5y2oc0i6rowjwtu7jvu,#0066CC,170868,Jérémy,Gagnon-Laparé,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,HFX Wanderers,20,1546,27,2,2,0,2,1,1,2,2,8,6,2,0,0,2,0,0,0,0,0,2,1,0,0,5,2,134,33,901,365,369,0.81,0,1,4.35,0,5,18,17,35,14,1,1,112,7,3,2,1236,99,21,33,13,97,75.00%,26,18,110,5,8,18,5,8,21,0,6,0,0,0,0,0,18,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,22,0,29,287,271,678,23,30.30%,81.50%,471,125,138,160,575,166,51.50%,33,18.5,0,56,58,58,30,9,0.5,0.31,0.5,0.31,0.81,34,4,0.06,14,0.29,0.17,38.30%,37,439,300,38,300
3,6yyhtcimqzsoqhp2clnj5x3sa,575525,Z. Fernandez,Zachary Fernandez,Right Back,15376,HFX Wanderers,Wanderers,HFX,5gmx3o5y2oc0i6rowjwtu7jvu,#0066CC,427322,Zachary,Fernandez,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Back,HFX Wanderers,24,2100,21,0,4,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,143,82,921,270,426,0.5,0,4,3.65,2,2,11,24,35,56,2,0,157,19,2,1,1645,106,31,29,30,127,75.90%,36,21,103,13,7,11,18,13,20,4,8,0,0,0,0,0,30,26,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,38,6,10,557,458,630,36,40.30%,75.60%,329,213,154,270,418,233,64.30%,42,24.42,0,85,85,85,33,9,0.47,0.03,0.47,0.03,0.5,31,6,0.13,4,0.32,0.28,38.20%,21,527,359,52,359
6,6d56vy4w9i65ye4c5t5txgkix,491595,T. Borges,Tristan Borges,Left Winger,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,#CC6633,225058,Tristan,Borges,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Left Winger,Forge,22,1717,24,2,14,1,11,8,3,4,4,14,6,8,1,1,4,0,6,0,4,0,0,0,3,3,16,9,97,16,568,157,298,5.23,6,6,3.55,6,7,13,20,33,79,12,4,86,28,4,1,1001,136,13,19,14,51,60.40%,4,0,97,9,4,14,7,4,13,9,6,0,0,0,0,0,17,15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,8,39,527,102,372,86,23.20%,80.10%,218,202,35,256,265,47,33.30%,6,12.52,5,83,17,17,22,12,3.98,1.25,3.98,1.25,4.44,27,1,0.16,33,0.25,0.22,43.10%,30,349,255,43,255
7,4rdlxnsv6um9rvzope8uzyh3o,948555,W. Timoteo,Wesley Timoteo,Right Midfielder,6925,Edmonton,Edmonton,EDM,73xrv2025rnj0t3y9ayp83bec,#0033FF,566182,Wesley,Timoteo,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Midfielder,Edmonton,25,1784,22,5,8,0,14,4,10,1,2,12,10,2,1,0,4,0,2,0,1,0,1,0,1,0,22,2,124,55,647,168,300,2.71,2,5,4.05,4,9,8,24,32,34,2,0,65,11,2,0,1171,92,19,21,19,90,58.00%,25,11,82,4,1,9,2,2,2,1,4,0,0,0,0,0,40,36,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,51,2,18,434,259,478,29,39.30%,72.30%,237,150,81,202,317,128,42.10%,19,32.2,2,99,58,58,24,8,0.75,1.96,0.75,1.96,1.93,27,3,0.09,29,0.3,0.29,31.50%,29,520,447,44,447
8,7t6lyj5pvvgzfscj775acuqc5,233123,M. Bustos,Marco Bustos,Right Attacking Midfielder,15380,Pacific,Pacific,PAC,b3436h8h14zw7f1uv6w9vqf6y,#00FFFF,173165,Marco,Bustos,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Attacking Midfielder,Pacific,25,1954,26,3,7,1,18,8,10,8,8,11,8,3,1,0,1,0,0,1,1,0,0,1,1,0,25,3,109,21,807,202,475,4.1,1,6,3.95,8,6,10,17,27,78,11,7,114,37,5,3,1263,105,15,17,12,51,78.00%,2,1,108,3,5,10,8,5,24,4,6,0,0,0,0,0,27,22,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,37,14,30,614,100,549,66,26.10%,83.90%,363,278,36,336,417,54,34.80%,23,27.76,0,89,24,24,18,9,3.18,0.92,3.18,0.92,3.83,21,1,0.09,45,0.26,0.26,34.70%,56,511,366,49,366
8,6r8emgp7oeom6yyibdb4g77c9,273966,D. Choinière,David Choinière,Right Midfielder,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,#CC6633,227780,David,Choinière,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Right Midfielder,Forge,23,1494,25,5,15,1,14,13,1,6,2,8,1,7,0,0,0,0,4,0,4,1,1,1,2,1,11,9,90,15,652,136,411,3.15,4,4,3.73,3,6,2,25,27,77,12,6,84,37,2,1,1040,102,12,17,5,38,63.00%,3,1,64,3,2,5,4,3,8,7,4,0,0,0,0,0,14,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,2,34,598,65,377,117,18.60%,83.90%,231,294,22,353,268,31,60.00%,5,10.91,2,65,15,15,18,5,2.97,0.18,2.97,0.18,3.15,23,0,0.1,30,0.17,0.18,43.40%,33,386,283,68,283
8,2zedqkn15thv6wx5xmgv48gd1,195042,K. Bekker,Kyle Bekker,Central Midfielder,15377,Forge,Forge,FOR,c2pdzdl3dgf5b0siidn2ay5ii,#CC6633,140123,Kyle,Bekker,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),Central Midfielder,Forge,23,1863,32,1,8,1,7,1,6,2,7,15,11,4,0,0,4,0,1,1,1,0,0,0,1,1,5,17,152,35,1162,376,599,1.39,2,5,3.67,0,7,11,16,27,19,2,1,34,5,4,1,1406,49,3,11,15,33,66.70%,4,1,133,4,2,7,0,6,7,1,8,0,0,0,0,0,19,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,24,0,6,412,196,798,23,31.40%,83.90%,624,217,134,256,742,164,16.70%,12,17.06,0,88,13,13,15,5,0.8,0.59,0.8,0.59,1.39,22,2,0.04,31,0.2,0.18,43.50%,46,377,269,49,269
