Rank,teamId,teamImageId,teamFullName,Team,teamAbbrevName,teamShortName,leagueId,leagueName,GM,SubOn,SubOff,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,OFF,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Scs1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,SucflTklPct,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,PctPassFwd,PassSucPct,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttM3,PsAttD3,AerialSucPct,Aerials,ExpGAg,BgChncGoal,Crosses,DefTouchD3,DefTouchD3,DefTouchM3,DefTouchA3,OpenPlayxG,SetPiecexG,OpenPlayxG,SetPiecexG,NonPenxG,KeyPasses,DefBlocks,xGPerShot,ShotsTotal,CrossScsPct,CrossScsPctOpnPl,PctRegainsWithin6S,RecoveriesOppositionHalf,OpponentPossessionsStartingAndEndingInTheirOwnHalf,ConcededPassesIntoBox,PassesIntoBox,ConcededPassesIntoBox,optaTeamId,Week,game,Home,Away,Win,Draw,Loss,Date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,Result,scatterId,scatterExtra
1,41ewt71n8fqwy6trsqta1bjvu,15381,Cavalry,Cavalry,CAV,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,4,0,6,3,3,4,2,10,2,5,0,0,1,0,0,0,0,0,5,2,0,0,4,5,53,15,630,239,323,1.54,0,0,1.4,0,0,5,14,19,18,1,0,47,10,0,0,788,39,1,7,9,19,72.70%,1,1,48,2,2,7,3,0,6,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,13,267,121,400,37,28.10%,89.20%,337,135,90,154,374,102,76.90%,26,1.58,0,28,11,11,5,3,0.74,0.8,0.74,0.8,1.54,19,0,0.07,22,0.5,0.35,57.10%,13,6,11,28,11,15381,,CAV vs ATO,TRUE,FALSE,FALSE,FALSE,TRUE,8/21/2022,837pn16r5fayqo440drtrd15g,dn8tjhuq0bax4dgixqvluhzze,16614,16614,Cavalry,Atlético Ottawa,ATO,0,3,Played,L 0-3,2276299,CAV vs ATO (2022-08-21)
2,b3436h8h14zw7f1uv6w9vqf6y,15380,Pacific,Pacific,PAC,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,1,8,7,1,2,2,9,3,5,1,0,0,0,3,0,3,1,2,1,2,0,10,4,54,14,588,360,160,4,3,3,3.47,8,6,2,15,17,17,4,2,56,8,4,4,788,61,10,17,10,53,64.30%,16,7,57,6,7,6,3,3,6,2,0,0,0,0,2,2,2,2,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,4,15,162,304,322,29,26.50%,88.40%,231,67,222,82,263,243,56.30%,16,0.31,3,21,33,33,15,5,2.91,1.09,2.91,1.09,3.73,14,0,0.19,21,0.48,0.43,55.60%,28,15,8,16,8,15380,,PAC vs VAL,TRUE,FALSE,TRUE,FALSE,FALSE,4/17/2022,7tnrk7s1kn6cat4od23gqvl04,dd2vf0yzjm7jm7cak9tf11sa2,15378,15378,Pacific,Valour,VAL,3,2,Played,W 3-2,2276223,PAC vs VAL (2022-04-17)
3,dd2vf0yzjm7jm7cak9tf11sa2,15378,Valour,Valour,VAL,Valour,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,3,1,7,4,3,2,2,6,1,3,0,0,0,0,3,0,2,1,2,1,1,1,3,7,55,13,458,183,207,1.91,3,3,1.88,3,3,3,13,16,29,2,0,45,13,0,0,688,49,4,11,13,52,65.20%,23,13,57,2,1,5,3,3,3,1,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1,0,0,2,1,1,1,0,0,1,0,0,0,3,2,6,12,210,200,278,34,32.50%,85.20%,200,87,103,110,226,122,50.00%,16,1.31,3,21,40,40,10,2,0.9,1.01,0.9,1.01,1.91,13,2,0.11,17,0.33,0.18,31.60%,14,11,12,31,12,15378,,YRK vs VAL,FALSE,TRUE,TRUE,FALSE,FALSE,6/26/2022,7y8kyjhal3fjewgqxjlj8953o,cqthcpums3aas2tdy0qhlkuwa,15382,15382,Valour,York United,YRK,3,1,Played,W 3-1,2276261,YRK vs VAL (2022-06-26)
3,dd2vf0yzjm7jm7cak9tf11sa2,15378,Valour,Valour,VAL,Valour,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,4,1,5,4,1,5,0,9,2,2,0,0,0,0,1,0,1,0,5,0,1,0,5,4,53,21,395,157,164,1.62,1,1,1.6,3,3,5,11,16,11,3,3,46,7,3,1,591,38,9,10,15,48,79.20%,14,8,48,2,6,7,2,4,5,3,1,2,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,3,0,0,0,3,0,0,0,2,0,2,6,153,169,269,37,36.50%,81.30%,183,53,85,69,213,113,50.00%,18,0.39,1,25,28,28,15,5,1.16,0.46,1.16,0.46,1.62,15,0,0.09,19,0.32,0.19,34.50%,11,15,13,17,13,15378,,VAL vs HFX,TRUE,FALSE,TRUE,FALSE,FALSE,7/10/2022,7zjyie3snfstmtjldpk8xhes4,5gmx3o5y2oc0i6rowjwtu7jvu,15376,15376,Valour,HFX Wanderers,HFX,1,0,Played,W 1-0,2276271,VAL vs HFX (2022-07-10)
3,dn8tjhuq0bax4dgixqvluhzze,16614,Atlético Ottawa,Atlético Ottawa,ATO,Atlético,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,0,11,11,0,2,4,5,2,1,0,0,0,0,0,0,0,0,2,3,0,0,4,7,58,26,331,134,113,1.49,0,0,1.24,3,3,8,8,16,13,1,0,55,8,0,0,525,45,7,14,14,47,60.00%,12,10,64,2,1,7,2,3,6,3,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,2,2,8,117,178,230,27,43.50%,74.60%,126,36,85,49,166,116,57.70%,26,1.22,0,17,31,31,14,2,0.93,0.56,0.93,0.56,1.49,16,3,0.07,22,0.29,0,42.90%,10,25,11,19,11,16614,,ATO vs PAC,TRUE,FALSE,FALSE,FALSE,TRUE,5/7/2022,7v9u5fh5vipqr6u1sv48vh2j8,b3436h8h14zw7f1uv6w9vqf6y,15380,15380,Atlético Ottawa,Pacific,PAC,0,1,Played,L 0-1,2276236,ATO vs PAC (2022-05-07)
6,dd2vf0yzjm7jm7cak9tf11sa2,15378,Valour,Valour,VAL,Valour,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,4,0,4,3,1,4,2,7,1,2,0,0,0,0,1,0,1,0,5,1,0,1,1,4,64,17,462,174,207,1.3,1,0,1.18,1,1,9,6,15,10,1,1,32,5,1,1,646,53,4,8,11,47,60.00%,21,9,51,6,0,10,2,1,4,0,0,0,0,0,0,0,1,1,0,0,2,0,0,2,0,0,0,2,0,2,0,0,0,2,0,0,0,3,2,0,9,162,152,332,33,34.40%,82.50%,240,69,72,88,279,95,29.60%,27,1.82,0,28,37,37,10,0,0.41,0.89,0.41,0.89,1.3,15,2,0.08,17,0.39,0.31,-,10,0,14,21,14,15378,,VAL vs EDM,TRUE,FALSE,FALSE,TRUE,FALSE,8/21/2022,8338b5zfmu57y43osxs6qlvro,73xrv2025rnj0t3y9ayp83bec,6925,6925,Valour,Edmonton,EDM,1,1,Played,T 1-1,2276298,VAL vs EDM (2022-08-21)
7,73xrv2025rnj0t3y9ayp83bec,6925,Edmonton,Edmonton,EDM,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,3,1,6,5,1,3,0,10,6,3,1,0,1,0,3,0,2,1,1,2,0,2,3,10,61,21,325,118,125,3.75,3,3,2.43,7,5,4,10,14,26,3,1,67,8,1,0,547,67,13,11,14,51,75.00%,13,2,59,4,0,6,7,6,10,2,1,1,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,2,14,141,181,225,31,43.70%,74.80%,127,44,72,58,167,100,40.00%,30,0.62,3,19,34,34,13,4,2.4,1.35,2.4,1.35,2.96,11,1,0.2,19,0.47,0.44,50.00%,19,24,14,18,14,6925,,EDM vs YRK,TRUE,FALSE,TRUE,FALSE,FALSE,7/1/2022,7yw4kqr97qlka51p2ltma1v6c,cqthcpums3aas2tdy0qhlkuwa,15382,15382,Edmonton,York United,YRK,3,0,Played,W 3-0,2276266,EDM vs YRK (2022-07-01)
7,5gmx3o5y2oc0i6rowjwtu7jvu,15376,HFX Wanderers,HFX Wanderers,HFX,Wanderers,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,3,1,3,3,0,3,2,7,1,4,1,1,0,0,1,0,0,0,2,0,1,0,6,2,46,20,342,151,125,2.42,1,0,1.63,2,1,2,12,14,28,3,0,62,17,1,1,532,50,9,14,8,49,62.20%,17,6,55,3,1,3,4,5,4,2,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,3,1,4,9,149,211,172,27,43.30%,80.70%,113,56,107,70,132,140,42.90%,21,0.73,1,18,37,37,9,3,0.87,1.55,0.87,1.55,1.63,14,0,0.16,15,0.33,0.3,39.50%,6,21,17,18,17,15376,,HFX vs VAL,TRUE,FALSE,TRUE,FALSE,FALSE,8/13/2022,824kjrpqw8ux0bun75kuesg0k,dd2vf0yzjm7jm7cak9tf11sa2,15378,15378,HFX Wanderers,Valour,VAL,1,0,Played,W 1-0,2276291,HFX vs VAL (2022-08-13)
7,5gmx3o5y2oc0i6rowjwtu7jvu,15376,HFX Wanderers,HFX Wanderers,HFX,Wanderers,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,1,4,3,1,1,2,11,3,2,0,0,0,0,0,1,1,0,4,1,0,1,3,7,61,17,445,143,224,1.97,1,1,1.5,2,1,8,6,14,21,2,0,55,8,0,0,628,41,10,9,5,38,90.50%,13,7,44,2,3,1,2,1,7,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,6,204,133,291,30,31.00%,82.50%,212,94,61,122,245,78,56.30%,32,0.4,0,23,26,26,9,3,0.64,1.33,0.64,1.33,1.97,13,5,0.11,18,0.35,0.18,50.00%,10,9,17,26,17,15376,,HFX vs PAC,TRUE,FALSE,TRUE,FALSE,FALSE,8/20/2022,82tw8mxoomsymoij38ka0ct1w,b3436h8h14zw7f1uv6w9vqf6y,15380,15380,HFX Wanderers,Pacific,PAC,1,0,Played,W 1-0,2276296,HFX vs PAC (2022-08-20)
7,41ewt71n8fqwy6trsqta1bjvu,15381,Cavalry,Cavalry,CAV,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,1,7,5,2,1,3,6,1,2,0,0,0,0,2,1,3,0,3,1,2,1,4,5,41,12,529,278,198,1.78,3,2,1.44,4,4,4,10,14,21,4,0,34,5,0,0,684,44,6,8,4,31,60.90%,10,7,50,1,2,5,3,1,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,4,145,200,339,19,30.40%,90.00%,277,55,144,68,305,156,50.00%,16,0.71,2,17,21,21,5,5,0.89,0.89,0.89,0.89,1.78,12,2,0.1,17,0.41,0.27,27.80%,17,13,8,12,8,15381,,CAV vs HFX,TRUE,FALSE,TRUE,FALSE,FALSE,7/15/2022,7zoe78sftenvr4auoo1n0xogk,5gmx3o5y2oc0i6rowjwtu7jvu,15376,15376,Cavalry,HFX Wanderers,HFX,3,0,Played,W 3-0,2276272,CAV vs HFX (2022-07-15)
7,dn8tjhuq0bax4dgixqvluhzze,16614,Atlético Ottawa,Atlético Ottawa,ATO,Atlético,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,0,3,2,1,4,4,5,0,4,0,0,0,0,1,0,1,0,1,1,1,0,4,2,67,16,350,124,143,0.88,1,1,0.81,1,1,5,9,14,17,4,1,53,10,0,0,519,49,8,10,3,37,72.00%,14,10,46,3,5,3,1,2,9,3,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,139,143,237,31,37.10%,76.30%,150,58,59,75,182,93,43.30%,30,0.6,1,19,26,26,10,1,0.6,0.28,0.6,0.28,0.88,13,1,0.05,16,0.21,0.2,41.90%,12,15,12,19,12,16614,,ATO vs CAV,TRUE,FALSE,FALSE,TRUE,FALSE,7/9/2022,7zej4cmcew3pppu58vyx48ro4,41ewt71n8fqwy6trsqta1bjvu,15381,15381,Atlético Ottawa,Cavalry,CAV,1,1,Played,T 1-1,2276270,ATO vs CAV (2022-07-09)
7,dn8tjhuq0bax4dgixqvluhzze,16614,Atlético Ottawa,Atlético Ottawa,ATO,Atlético,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,1,6,5,1,2,1,8,1,4,0,0,0,0,2,0,2,0,2,1,1,1,2,9,70,16,457,197,174,1.84,2,2,1.67,4,4,3,11,14,27,4,2,50,13,2,2,640,51,9,10,7,37,70.40%,10,5,59,2,5,6,4,0,3,1,0,1,0,0,0,1,1,0,1,0,6,0,1,3,4,0,0,6,0,6,1,1,0,2,0,0,0,3,0,0,8,159,159,322,30,34.60%,81.20%,219,69,83,87,267,103,57.90%,19,0.27,1,15,23,23,12,2,1.15,0.69,1.15,0.69,1.84,12,2,0.11,17,0.13,0,37.80%,11,8,5,22,5,16614,,ATO vs EDM,TRUE,FALSE,TRUE,FALSE,FALSE,8/7/2022,81q2iw0qgguy2htj1zul0kn4k,73xrv2025rnj0t3y9ayp83bec,6925,6925,Atlético Ottawa,Edmonton,EDM,2,1,Played,W 2-1,2276288,ATO vs EDM (2022-08-07)
13,c2pdzdl3dgf5b0siidn2ay5ii,15377,Forge,Forge,FOR,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,4,0,5,4,1,5,4,3,0,2,0,0,0,0,0,1,1,0,2,0,0,1,2,4,44,14,508,200,250,1.58,1,1,1.01,3,2,4,9,13,19,1,0,51,11,1,0,715,46,5,10,7,30,62.50%,8,2,46,6,1,8,4,4,7,3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,3,1,2,6,237,152,326,41,29.90%,88.60%,250,103,97,124,273,111,50.00%,20,0.54,0,42,15,15,12,3,0.78,0.8,0.78,0.8,1.58,12,1,0.09,17,0.21,0.16,53.80%,19,12,14,30,14,15377,,FOR vs ATO,TRUE,FALSE,FALSE,TRUE,FALSE,5/14/2022,7ve593zeywji6ty225c3mb9ck,dn8tjhuq0bax4dgixqvluhzze,16614,16614,Forge,Atlético Ottawa,ATO,1,1,Played,T 1-1,2276237,FOR vs ATO (2022-05-14)
13,cqthcpums3aas2tdy0qhlkuwa,15382,York United,York United,YRK,York,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,3,1,7,4,3,1,0,9,1,5,0,0,2,0,1,1,2,1,2,2,0,1,5,7,52,21,314,134,107,1.17,2,2,1.06,1,1,4,9,13,20,0,0,60,12,0,0,510,50,9,11,10,50,74.10%,19,10,63,6,1,6,4,5,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,8,116,175,219,21,38.20%,76.80%,140,29,72,43,171,100,42.90%,28,1.1,0,21,38,38,12,0,0.5,0.67,0.5,0.67,1.17,11,2,0.07,17,0.24,0.15,27.60%,9,20,14,14,14,15382,,YRK vs CAV,TRUE,FALSE,TRUE,FALSE,FALSE,4/22/2022,7trwq4h9nn6ifmk2gistxo5ck,41ewt71n8fqwy6trsqta1bjvu,15381,15381,York United,Cavalry,CAV,2,0,Played,W 2-0,2276224,YRK vs CAV (2022-04-22)
13,41ewt71n8fqwy6trsqta1bjvu,15381,Cavalry,Cavalry,CAV,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,2,2,0,4,3,1,3,0,9,3,2,0,0,2,0,0,0,0,0,2,1,0,0,5,5,61,18,459,198,182,1.34,0,0,1.2,0,0,6,7,13,16,1,0,49,9,1,0,675,49,9,6,15,44,75.00%,13,4,57,2,2,11,4,2,6,0,0,0,0,0,0,1,1,1,0,0,3,0,0,2,1,0,0,3,2,1,1,0,0,1,1,0,0,4,1,2,10,171,127,377,32,33.10%,82.80%,259,58,63,72,308,79,46.40%,28,1.67,0,36,24,24,18,2,0.69,0.66,0.69,0.66,1.34,13,3,0.08,16,0.28,0.17,31.10%,14,13,5,26,5,15381,,ATO vs CAV,FALSE,TRUE,FALSE,FALSE,TRUE,4/9/2022,7svngikxjdp572w3h94c27hg4,dn8tjhuq0bax4dgixqvluhzze,16614,16614,Cavalry,Atlético Ottawa,ATO,0,1,Played,L 0-1,2276217,ATO vs CAV (2022-04-09)
13,41ewt71n8fqwy6trsqta1bjvu,15381,Cavalry,Cavalry,CAV,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,3,0,5,5,0,1,4,8,2,3,0,0,0,0,0,0,0,0,4,0,0,0,4,5,54,14,533,243,222,1.13,0,0,0.81,2,1,4,9,13,23,2,1,42,11,0,0,738,41,1,7,5,17,61.50%,4,0,44,0,0,7,2,3,8,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,10,194,167,377,33,28.10%,87.20%,281,58,126,77,321,135,52.60%,19,0.47,0,36,10,10,4,3,0.58,0.56,0.58,0.56,1.13,13,3,0.06,18,0.25,0.28,44.40%,12,7,4,18,4,15381,,CAV vs YRK,TRUE,FALSE,FALSE,FALSE,TRUE,7/20/2022,805uesgzrbsd1s9fkk4b7mkus,cqthcpums3aas2tdy0qhlkuwa,15382,15382,Cavalry,York United,YRK,0,1,Played,L 0-1,2276276,CAV vs YRK (2022-07-20)
17,cqthcpums3aas2tdy0qhlkuwa,15382,York United,York United,YRK,York,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,1,6,4,2,0,1,5,2,3,0,0,0,0,4,0,3,1,0,1,0,3,1,9,72,21,306,102,111,1.22,4,4,1.22,4,4,1,11,12,12,3,1,55,4,0,0,514,67,8,11,6,60,65.50%,35,15,52,4,5,11,3,2,4,1,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,1,1,0,2,0,0,0,0,0,4,2,2,13,142,179,193,19,47.40%,69.60%,100,44,69,61,140,105,56.10%,41,1.56,4,9,46,46,8,6,0.95,0.26,0.95,0.26,1.22,8,2,0.1,12,0.56,0.5,52.10%,16,16,30,15,30,15382,,HFX vs YRK,FALSE,TRUE,TRUE,FALSE,FALSE,8/1/2022,81ccrr9ct9i3n53rvov6s0jdg,5gmx3o5y2oc0i6rowjwtu7jvu,15376,15376,York United,HFX Wanderers,HFX,4,2,Played,W 4-2,2276285,HFX vs YRK (2022-08-01)
17,cqthcpums3aas2tdy0qhlkuwa,15382,York United,York United,YRK,York,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,1,10,10,0,4,2,3,0,2,0,0,0,0,3,0,2,0,1,1,1,2,3,7,53,16,439,181,189,3.31,3,1,1.65,6,4,1,11,12,26,5,1,55,18,1,1,655,51,5,15,14,54,62.50%,18,7,51,4,0,5,2,2,9,2,0,0,0,0,0,0,1,1,0,0,4,0,0,2,1,1,0,3,1,3,0,2,0,1,1,0,0,1,1,6,15,196,208,251,38,36.90%,84.30%,169,88,113,107,196,136,33.30%,15,0.68,2,14,37,37,11,6,1.39,1.92,1.39,1.92,3.31,11,3,0.17,19,0.36,0.3,34.90%,13,20,20,24,20,15382,,PAC vs YRK,FALSE,TRUE,TRUE,FALSE,FALSE,9/3/2022,840arl7d06j7894p1b0hy59n8,b3436h8h14zw7f1uv6w9vqf6y,15380,15380,York United,Pacific,PAC,3,1,Played,W 3-1,2276305,PAC vs YRK (2022-09-03)
17,cqthcpums3aas2tdy0qhlkuwa,15382,York United,York United,YRK,York,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,4,1,10,9,1,1,1,3,0,1,1,1,0,0,3,0,2,1,0,2,0,2,5,6,46,15,444,238,145,2.21,3,2,1.32,5,4,1,11,12,18,3,2,43,6,0,0,612,56,2,13,7,38,60.00%,16,9,50,5,3,5,3,5,5,3,0,0,0,0,0,1,1,1,0,1,2,0,0,1,1,0,0,2,1,1,0,1,1,0,0,0,0,2,3,0,12,135,219,258,31,32.20%,86.30%,186,44,153,58,220,166,50.00%,18,0.86,3,13,28,28,8,2,1.22,0.99,1.22,0.99,1.42,10,3,0.15,15,0.46,0.5,34.10%,11,15,12,18,12,15382,,YRK vs EDM,TRUE,FALSE,TRUE,FALSE,FALSE,9/9/2022,84doo4howeq9u4x1tldhrcf10,73xrv2025rnj0t3y9ayp83bec,6925,6925,York United,Edmonton,EDM,3,1,Played,W 3-1,2276308,YRK vs EDM (2022-09-09)
17,5gmx3o5y2oc0i6rowjwtu7jvu,15376,HFX Wanderers,HFX Wanderers,HFX,Wanderers,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,0,4,2,2,1,0,8,1,2,0,0,0,0,0,0,0,0,6,2,0,0,0,4,68,26,497,217,186,0.91,0,0,0.84,1,1,6,6,12,22,3,1,54,9,1,1,710,52,4,12,13,40,55.20%,10,3,59,3,3,6,4,1,11,2,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,8,139,194,377,23,33.40%,81.10%,242,50,111,64,300,133,65.00%,20,1.3,0,15,22,22,16,2,0.47,0.44,0.47,0.44,0.91,12,4,0.07,13,0.4,0.2,35.70%,15,24,13,15,13,15376,,HFX vs ATO,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2022,7ynhoac4z9qwrveua21q9chsk,dn8tjhuq0bax4dgixqvluhzze,16614,16614,HFX Wanderers,Atlético Ottawa,ATO,0,2,Played,L 0-2,2276264,HFX vs ATO (2022-06-30)
17,dd2vf0yzjm7jm7cak9tf11sa2,15378,Valour,Valour,VAL,Valour,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,5,5,1,8,5,3,2,2,5,2,3,0,0,0,0,2,0,2,0,0,0,1,1,6,7,76,16,398,142,164,1.89,2,2,1.62,2,2,1,11,12,17,2,2,46,7,2,2,588,52,6,13,19,60,86.40%,22,8,52,4,3,10,1,4,4,1,1,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,5,3,2,1,0,0,3,2,0,0,1,0,0,8,141,168,279,19,31.70%,76.90%,174,64,68,79,222,97,44.00%,25,0.54,2,10,44,44,15,1,1.41,0.48,1.41,0.48,1.89,10,1,0.11,17,0.3,0.29,32.40%,16,14,14,15,14,15378,,VAL vs YRK,TRUE,FALSE,TRUE,FALSE,FALSE,8/7/2022,81uu5oy1hg6yunaahnrfm9ogk,cqthcpums3aas2tdy0qhlkuwa,15382,15382,Valour,York United,YRK,2,0,Played,W 2-0,2276289,VAL vs YRK (2022-08-07)
